MID,Merchant_Name,CONTACT_new,Address,City,Area,addres2,additional location,Telp,Company,Head_Office,status
99933100,GRAGE HORIZON HOTEL,DRS H BUDIMAN KUSIKA,Jl. PANTAI NALA NO.142,Bengkulu,Batam,,,(62-542) 761616,,, 
99923900,TOKO NADIA,ISLAMIAH AFDAL,Jl. KZ ABIDIN No.24,Bengkulu,Batam,,,(62-542) 741162,,, 
99153500,PT PAPUA DIVING,MAXIMILIAN J AMER,GUNUNG GAMALAMA,SORONG,MAKASSAR,,,(62-542) 412988/89,PT Citra Nusa Insan Cemerlang,Jakarta, 
99138300,Nokia Cellular,RENDY ANGGA PANORAMA,Jl. A. Yani Sorong,SORONG,MAKASSAR,,,(62-542) 734696,Pt Karyamitra Budisentosa,Surabaya, 
99137500,Rumah Makan Ratu Sayang,SAAM SOLEMAN ORO,Jl. Yos Sudarso 31 Sorong,SORONG,MAKASSAR,,,(62-542) 422677,,, 
99129102,Mall Saga( Depstore ),HARRY PIRONO,Jl. Raya Abepura 10,Jayapura,MAKASSAR,,,(62-542) 876777,,, 
99128300,Supermarket Multi Grosir,SOETEDJO P,Abe Pantai 81,Jayapura,MAKASSAR,,,(62-542) 877307,,, 
99117100,Supermarket  Mega,SOETEDJO PIRONO,Jl. Raya Abepura 10,Jayapura,MAKASSAR,,,(62-542) 876877,,, 
94360300,Bruno Piatelli,JOHAN IRAWAN,Jl. Jend. Gatot Subroto Jambi,Jambi,Batam,,,(62-542) 423448,,, 
94358700,Jambi Prima Mall,ANDREAS HUATTANTO,Jl. Jend Sudirman Jambi,Jambi,Batam,,,(62-542) 744460,,, 
94334500,Matahari Dept Store Jambi,ERWIN ILHAM SYARIEF,Jl. Jend. Gatot Subroto Jambi,Jambi,Batam,,,(62-542) 424009,,, 
94334500,Matahari Dept Store Jambi,ERWIN ILHAM SYARIEF,Jl. Jend. Gatot Subroto Jambi,Jambi,Batam,,,(62-542) 411885,,, 
93316300,TOKO CITRA BUSANA,RESTU YONO M,Jl. SUPRAPTO NO.120,Bengkulu,Batam,,,(62-542) 763935,,, 
93304300,PT.SWADAYA CIPTA INDAH,SOEJOKO,Jl. LETJEN SUPARMAN 178,Bengkulu,Batam,,,(62-542) 761278,,, 
93301900,TOKO KATULISTIWA,ANWAR,"Jl. KZ ABIDIN No,",Bengkulu,Batam,,,(62-542) 878069,,, 
80477900,WIWARO BABY SHOP,SYAMSUL WANTORO,VETERAN SELATAN,MAKASSAR,MAKASSAR,,,(62-542) 413394,,, 
80472900,BOSSINI,TEDDY MULIADY SOENONG,MARI MALL,MAKASSAR,MAKASSAR,,,(62-542) 422951,,, 
80463700,"INC""S",CACOK RICKY HAMZAH,MALL RATU INDAH,MAKASSAR,MAKASSAR,,,(62-542) 732142,,, 
80459500,RM DINAR,EDWARD WIJAYA HORAS,JL G LATIMOJONG,MAKASSAR,MAKASSAR,,,(62-542) 765108,PT Mitra Adi Perkasa,Jakarta, 
80447900,ARIEL COMPUTER,FRIEDA MAGDALENA,JL G LATIMOJONG,MAKASSAR,MAKASSAR,,,(62-542) 440956,PT Mitra Adi Perkasa,Jakarta, 
80443700,TK MUJUR JAYA,DAVID CHANDRA,JL SOMBAOPU,MAKASSAR,MAKASSAR,,,(62-542) 424817,PT Mitra Adi Perkasa,Jakarta, 
80437902,EVERBEST,FONNY,MALL PANAKUKANG,MAKASSAR,MAKASSAR,,,(62-542) 737488,,, 
