TYPE_EDC,Category,sub_category,dep_methods,useful_life,ori_currency,acq_cost,exchange,equal_idr,purchase_date,depre_exp,acc_exp,nbv,invoice,po,Adaptor_S_N,Adaptor_S_N,node,user,bussines_unit,City,MID,note,parent_id,Area,OS,application,Merch_Program,T_I_D,owner
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470306117,3470306117,,aodofficer,Acquiring Operation Department,MAKASSAR,80447900,,,MAKASSAR,,,,81094501,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470305906,3470305906,,aodofficer,Acquiring Operation Department,Banjarmasin,62147900,,4324480,BALIKPAPAN,,,,66000201,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470305728,3470305728,,aodofficer,Acquiring Operation Department,MEDAN,50661700,,,MEDAN,,,-,56106603,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470305531,3470305531,,aodofficer,Acquiring Operation Department,MEDAN,50484300,,,MEDAN,,,-,54008201,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470302640,3470302640,,aodofficer,Acquiring Operation Department,Pekanbaru,53139100,,,Batam,,,,53202301,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301965,3470301965,,aodofficer,Acquiring Operation Department,Bandung,40956802,,3160677,Bandung,,,,59107921,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301867,3470301867,,aodofficer,Acquiring Operation Department,MEDAN,50689106,,,MEDAN,,,-,56109507,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301494,3470301494,,aodofficer,Acquiring Operation Department,BINJAI,50495502,,,MEDAN,,,-,54009302,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301391,3470301391,,aodofficer,Acquiring Operation Department,Semarang,30771100,,,Semarang,,,,59904701,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301262,3470301262,,aodofficer,Acquiring Operation Department,Semarang,30606100,,,Semarang,,,,52007803,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301205,3470301205,,aodofficer,Acquiring Operation Department,Sampit,74318300,,1775730,BALIKPAPAN,,,,51000902,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301183,3470301183,,aodofficer,Acquiring Operation Department,YOGYAKARTA,36678300,,659404,YOGYAKARTA,,,-,3800 41 01,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470301128,3470301128,,aodofficer,Acquiring Operation Department,Padang,26357300,,,Batam,,,,88106501,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470300992,3470300992,,aodofficer,Acquiring Operation Department,Semarang,30778700,,,Semarang,,,,59905401,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,3470300949,3470300949,,aodofficer,Acquiring Operation Department,YOGYAKARTA,36679100,,3083973,YOGYAKARTA,,,-,3800 42 01,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,2002204148,2002204148,,aodofficer,Acquiring Operation Department,YOGYAKARTA,36666700,,2927989,YOGYAKARTA,,,-,3800 27 01,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,993805037,993805037,,aodofficer,Acquiring Operation Department,Batam,29157546,,,Batam,,,,20005552,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,991203024,991203024,,aodofficer,Acquiring Operation Department,Batam,29157568,,,Batam,,,,20005574,purchase
ADAPTOR,EDC,ADAPTOR,Straight line,1,IDR,0,,0,1/1/2000,,,,,,991203020,991203020,,aodofficer,Acquiring Operation Department,MEDAN,50607500,,,MEDAN,,,-,56100901,purchase
